,county_fips_code,county_name,date,confirmed_cases,deaths,total_pop,male_pop,female_pop,median_income,median_rent,poverty,employed_pop,unemployed_pop,worked_at_home,walked_to_work,different_house_year_ago_different_city,different_house_year_ago_same_city
2537,48195,Hansford ,2021-01-19,673,17,5532.0,2760.0,2772.0,40678.0,571.0,1017.0,2394.0,94.0,18.0,70.0,374.0,350.0
2538,48433,Stonewall ,2021-01-19,134,4,1084.0,555.0,529.0,46786.0,375.0,143.0,442.0,11.0,7.0,0.0,62.0,81.0
2539,48079,Cochran ,2021-01-19,216,12,2932.0,1492.0,1440.0,37500.0,313.0,717.0,1189.0,103.0,23.0,12.0,251.0,233.0
2540,48105,Crockett ,2021-01-19,472,13,3836.0,1903.0,1933.0,52310.0,408.0,787.0,1733.0,43.0,60.0,0.0,206.0,405.0
2541,48307,McCulloch ,2021-01-19,467,12,8145.0,4171.0,3974.0,42367.0,471.0,1296.0,3658.0,122.0,61.0,104.0,829.0,634.0
2542,48421,Sherman ,2021-01-19,118,11,3067.0,1590.0,1477.0,54961.0,493.0,448.0,1604.0,24.0,38.0,72.0,72.0,109.0
2543,48269,King ,2021-01-19,11,0,289.0,150.0,139.0,56964.0,475.0,10.0,173.0,11.0,7.0,6.0,5.0,0.0
2544,48045,Briscoe ,2021-01-19,114,3,1591.0,796.0,795.0,42500.0,429.0,220.0,729.0,48.0,78.0,17.0,111.0,44.0
2545,48445,Terry ,2021-01-19,1475,46,12755.0,6753.0,6002.0,42441.0,498.0,1590.0,4556.0,474.0,120.0,48.0,1585.0,1221.0
2546,48101,Cottle ,2021-01-19,176,7,1498.0,758.0,740.0,33534.0,190.0,364.0,651.0,78.0,10.0,52.0,135.0,125.0
2547,48435,Sutton ,2021-01-19,406,6,3894.0,2127.0,1767.0,60996.0,416.0,251.0,1827.0,114.0,79.0,26.0,461.0,79.0
2548,48267,Kimble ,2021-01-19,227,6,4432.0,2140.0,2292.0,41095.0,433.0,965.0,2027.0,138.0,66.0,65.0,434.0,258.0
2549,48327,Menard ,2021-01-19,180,5,2123.0,1159.0,964.0,37917.0,298.0,201.0,1014.0,55.0,37.0,19.0,171.0,165.0
2550,48247,Jim Hogg ,2021-01-19,494,11,5262.0,2623.0,2639.0,31403.0,435.0,1353.0,1646.0,337.0,0.0,9.0,262.0,278.0
2551,48301,Loving ,2021-01-19,1,0,74.0,39.0,35.0,80938.0,738.0,12.0,39.0,0.0,3.0,3.0,5.0,0.0
2552,48103,Crane ,2021-01-19,487,11,4836.0,2515.0,2321.0,63935.0,542.0,551.0,2023.0,55.0,8.0,15.0,395.0,105.0
2553,48137,Edwards ,2021-01-19,207,3,2111.0,965.0,1146.0,48462.0,356.0,147.0,888.0,48.0,138.0,16.0,54.0,6.0
2554,48271,Kinney ,2021-01-19,258,3,3631.0,2234.0,1397.0,34926.0,425.0,354.0,1351.0,119.0,100.0,1.0,393.0,166.0
2555,48495,Winkler ,2021-01-19,639,15,7777.0,3968.0,3809.0,55000.0,579.0,1378.0,3267.0,140.0,79.0,47.0,629.0,281.0
2556,48315,Marion ,2021-01-19,401,20,10140.0,5025.0,5115.0,36938.0,431.0,2225.0,3635.0,434.0,192.0,38.0,826.0,124.0
2557,48011,Armstrong ,2021-01-19,128,6,1929.0,974.0,955.0,68750.0,524.0,140.0,968.0,18.0,109.0,22.0,110.0,28.0
2558,48405,San Augustine ,2021-01-19,496,26,8403.0,4154.0,4249.0,32394.0,369.0,1982.0,2493.0,385.0,73.0,21.0,530.0,137.0
2559,48155,Foard ,2021-01-19,91,5,1414.0,749.0,665.0,50000.0,238.0,78.0,591.0,75.0,14.0,14.0,114.0,29.0
2560,48047,Brooks ,2021-01-19,685,29,7251.0,3750.0,3501.0,24794.0,409.0,2781.0,2489.0,400.0,43.0,76.0,1113.0,558.0
2561,48107,Crosby ,2021-01-19,383,22,5895.0,2918.0,2977.0,38674.0,353.0,1209.0,2519.0,209.0,32.0,53.0,561.0,401.0
